date,tweet,sentiment_score
2025-09-02 18:03:26+00:00,"@RexChibuzo_ @TouchlineX Sterling, James Milner",0.0
2025-09-02 17:16:15+00:00,"@SheffUnitedWay He reminds me of James Milner. Similar build, looks after himself and a model professional.",0.0
2025-09-02 16:36:31+00:00,@NUFCEdge Is that a statue of James Milner?,0.0
2025-09-02 16:35:33+00:00,"Read more about this and other big stats from the weekend's football in this week's Stat, Viz, Quiz newsletter:

https://t.co/EUguR9nXih",0.0
2025-09-02 15:30:11+00:00,Who is the Premier League's Best Penalty Taker? Erling Haaland and James Milner in Top 25 https://t.co/Wszillg96l https://t.co/Iz7C2jN72C,0.4588
2025-09-02 15:14:09+00:00,"@pulpy If that's his opinion, so be it.

Let the negativity and hatred go.

He stood in for us and did a decent job out of position.

Never once bad mouthed the football club unlike James Milner.",-0.6858
2025-09-02 15:01:09+00:00,@BHA_Aqua James Milner,0.0
2025-09-02 14:59:45+00:00,"@Nataellrosynlyn @Football__Tweet The first time James Milner ever scored a goal was nearly 23 years ago. It’s simple to understand, really🤷🏻‍♂️",0.0
2025-09-02 14:17:30+00:00,@BHA_Aqua ¿¡¿¡Look at this fan meeting James Milner!?!? https://t.co/TuDHiaevXS,0.5528
2025-09-02 13:52:00+00:00,James Milner on scoring a goal in honour of Diogo Jota and wearing his number!  ❤️🙌 https://t.co/O7hPxvbR6K,0.6476
2025-09-02 13:17:52+00:00,@mikecoolwm James Milner then lool,0.0
